n,error
1,0
2,1.10933564796705e-30
3,1.34804824480736e-29
4,1.06939716107966e-25
5,1.12318763722721e-23
6,4.66947802820021e-21
7,2.81798474577652e-16
8,0.26425662687595
9,0.466367895688764
10,0.980867548324338
